League,Year,Season,Type,LCK,lckResult,lcsResult,LCS
IEM,2015,Spring,International,GET,1,0,C9
IEM,2015,Summer,International,JAG,0,1,CLG
IEM,2016,Summer,International,KDM,1,0,IMT
WC,2015,Summer,International,KOO,1,0,CLG
WC,2015,Summer,International,KT,1,0,TSM
WC,2017,Summer,International,LZ,1,0,IMT
WC,2014,Summer,International,NWS,1,0,C9
WC,2014,Summer,International,NWS,1,0,C9
WC,2016,Summer,International,ROX,1,0,CLG
WC,2016,Summer,International,SKT,1,0,C9
WC,2017,Summer,International,SKT,1,0,C9
MSI,2016,Spring,International,SKT,1,0,CLG
IEM,2016,Spring,International,SKT,1,0,CLG
MSI,2015,Spring,International,SKT,1,0,TSM
MSI,2017,Spring,International,SKT,1,0,TSM
IEM,2016,Spring,International,SKT,1,0,TSM
WC,2014,Summer,International,SSB,0,1,C9
WC,2014,Summer,International,SSB,1,0,C9
WC,2016,Summer,International,SSG,1,0,C9
WC,2016,Summer,International,SSG,1,0,C9
IEM,2016,Summer,International,SSG,1,0,IMT
IEM,2016,Summer,International,SSG,1,0,TL
WC,2016,Summer,International,SSG,1,0,TSM
WC,2014,Summer,International,SSW,1,0,TSM
WC,2014,Summer,International,SSW,0,1,TSM
WC,2014,Summer,International,NWS,0,1,C9
WC,2016,Summer,International,SKT,1,0,C9
WC,2017,Summer,International,SKT,1,0,C9
WC,2014,Summer,International,SSB,1,0,C9
WC,2014,Summer,International,SSB,1,0,C9
WC,2016,Summer,International,SSG,1,0,C9
IEM,2015,Summer,International,JAG,0,1,CLG
WC,2015,Summer,International,KOO,1,0,CLG
WC,2016,Summer,International,ROX,0,1,CLG
MSI,2016,Spring,International,SKT,0,1,CLG
MSI,2016,Spring,International,SKT,1,0,CLG
MSI,2016,Spring,International,SKT,1,0,CLG
MSI,2016,Spring,International,SKT,1,0,CLG
IEM,2016,Summer,International,KDM,0,1,IMT
IEM,2016,Summer,International,KDM,1,0,IMT
WC,2017,Summer,International,LZ,1,0,IMT
IEM,2016,Summer,International,SSG,1,0,IMT
IEM,2016,Summer,International,SSG,1,0,TL
IEM,2015,Spring,International,CJ,0,1,TSM
WC,2015,Summer,International,KT,1,0,TSM
MSI,2017,Spring,International,SKT,1,0,TSM
IEM,2016,Spring,International,SKT,1,0,TSM
WC,2016,Summer,International,SSG,0,1,TSM
WC,2014,Summer,International,SSW,1,0,TSM
WC,2014,Summer,International,SSW,1,0,TSM
